Rywal,Mecze,Wyniki z rywalem,Wygrane,Remisy,Porażki,Bilans bramkowy,Punkty,Punkty na mecz
Cracovia,14,2x 0-3 | 2-3 | 2x 1-0 | 1-3 | 2-4 | 3x 1-1 | 3-1 | 0-1 | 1-4 | 2-2,3,4,6,,13,"1,00"
KSZO Ostrowiec Świętokrzyski,11,anulowany było 0-1 | 2x 2-1 | 1-2 | 4x 0-1 | 1-0 | 2-0 | 0-0,4,1,5,,13,"1,30"
Zagłębie Lubin,17,4-2 | 0-2 | 1-3 | 3-0 | 2x 0-0 | 1-0 | 2x 2-1 | 2x 1-1 | 2-3 | 2-0 | 2x 1-2 | 2-4 pd. | 0-0 pd. k. 3-4,6,5,6,,23,"1,35"
Pogoń Szczecin,19,3x 0-1 | 2x 1-2 | 2x 1-1 | 2-2 | 2x 0-0 | 3-1 | 3x 2-1 | 3x 0-2 | 2x 2-3,4,5,10,,17,"0,89"
Promień Żary,1,4-0,1,0,0,,3,"3,00"
Kujawiak Włocławek,2,2-1 | 1-3,1,0,1,,3,"1,50"
Korona Kielce,19,2x 0-2 | 5x 1-2 | 2-1 | 2x 2-2 | 3x 2-3 | 3x 1-1 | 1-0 | 1-3 | 0-0,2,6,11,,12,"0,63"
Radomiak Radom,7,2x 1-0 | 1-1 | 2-1 | 1-1 pd. k. 4-2 | 3-1 | 4-2,5,2,0,,17,"2,43"
Górnik Zabrze,20,3-2 | 2x 1-3 | 3x 0-1 | 1-1 | 2x 0-3 | 1-0 | 1-2 | 0-2 | 4-2 | 2x 3-3 | 2-0 | 0-0 | 0-4 | 2-4 | 2-1,5,5,10,,20,"1,00"
Widzew Łódź,17,0-2 | 2x 0-3 | 2x 1-1 | 3x 2-2 | 2x 0-1 | 0-0 | 2x 1-0 | 2-1 | 3-0 | 4-0 | 1-2,5,6,6,,21,"1,24"
Skalnik Gracze,2,4-1 | 3-0,2,0,0,,6,"3,00"
GKS Katowice,23,3x 1-1 | 2x 2-1 | 3x 2-0 | 4x 1-0 | 0-1 | 1-3 | 6-1 | 1-2 pd. | 2x 0-2 | 2x 1-2 | 0-3 | 2-2 | 0-5,10,4,9,,34,"1,48"
Zagłębie Sosnowiec,22,3-1 | 3x 2-1 | 1-2 | 6x 0-0 | 2-5 | 4-5 | 3x 0-2 | 1-1 | 4-1 | 2x 2-2 | 0-1,5,9,6,,24,"1,20"
MKS Mława,2,2-0 | 1-0,2,0,0,,6,"3,00"
Lechia Gdańsk,20,3x 1-1 | 2x 0-1 | 1-3 | 0-2 | 2-4 | 2x 1-0 | 3-2 | 2-3 | 2-1 | 2x 2-2 | 3-1 | 0-5 | 0-4 | 0-3 | 1-2,5,5,10,,20,"1,00"
Flota Świnoujście,7,3-1 pd. | 3-1 | 0-2 | 1-2 | 3-0 | 2-1 | 1-1,4,1,2,,13,"1,86"
Heko Czermno,2,1-1 | 1-2,0,1,1,,1,"0,50"
Drwęca Nowe Miasto Lubawskie,2,1-1 | 3-0,1,1,0,,4,"2,00"
Zawisza Bydgoszcz,10,1-0 | 0-1 | 3-2 | 3-0 wo | 2x 2-2 | 0-0 | 2x 2-1 | 2-0,6,3,1,,21,"2,10"
Wisła Płock,12,0-3 | 2x 0-0 | 2-3 | 4-0 | 3-0 (wo) na boisku 1-0 | 3-0 | 3x 1-1 | 1-4 | 1-2,3,5,4,,14,"1,17"
Pelikan Łowicz,4,1-1 | 5-2 | 2-0 | 3-1,3,1,0,,10,"2,50"
Unia Janikowo,2,1-0 | 0-0,1,1,0,,4,"2,00"
Górnik /Zagłębie Wałbrzych,1,2-1,1,0,0,,3,"3,00"
Polonia Warszawa,10,2x 0-2 | 2-1 | 2-0 | 1-0 | 3x 1-2 | 1-1 | 0-1,3,1,6,,10,"1,00"
Odra Opole,18,2x 0-0 | 0-2 | 2x 1-0 | 2x 2-1 | 3x 2-0 | 2-2 | 2x 1-2 | 3-1 | 4-3 | 0-3 | 1-1 | 0-1,9,4,5,,31,"1,72"
