imię i nazwisko,narodowość,flaga,pozycja,data urodzenia,Wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,SUMA
Krzysztof Nolka,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,15.0,25.0,27.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
Rafał Studencki,Polska,https://flagcdn.com/w40/pl.png,,,125,15.0,23.0,22.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61
Wiesław Wawrzuta,Polska,https://flagcdn.com/w40/pl.png,,,125,14.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Jurasz,Polska,https://flagcdn.com/w40/pl.png,,,125,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Paduch,Polska,https://flagcdn.com/w40/pl.png,,,125,13.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Czechowski,Polska,https://flagcdn.com/w40/pl.png,,,125,7.0,17.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Dariusz Ziółkowski,Polska,https://flagcdn.com/w40/pl.png,,,125,6.0,23.0,27.0,,26.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,88
Krystian Gańcarczyk,Polska,https://flagcdn.com/w40/pl.png,,,125,6.0,24.0,26.0,18.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,80
Mariusz Smagoń,Polska,https://flagcdn.com/w40/pl.png,,,125,4.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Marek Sokołowski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,11.03.1978,47,4.0,26.0,28.0,30.0,32.0,18.0,,7.0,,,,,,,,12.0,25.0,26.0,29.0,31.0,29.0,20.0,,,,,,,,,,287
Grzegorz Bak,Polska,https://flagcdn.com/w40/pl.png,,,125,,10.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Bubula,Polska,https://flagcdn.com/w40/pl.png,,,125,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Włodarczak,Polska,https://flagcdn.com/w40/pl.png,,,125,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Kubinek,Polska,https://flagcdn.com/w40/pl.png,,,125,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Kusiak,Polska,https://flagcdn.com/w40/pl.png,,,125,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bartosz Żelichowski,Polska,https://flagcdn.com/w40/pl.png,,,125,2.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Przemysław Bieniek,Polska,https://flagcdn.com/w40/pl.png,,,125,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Michał Klimczak,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,2.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Filimowski,Polska,https://flagcdn.com/w40/pl.png,,,125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Krzysztof Szczygieł,Polska,https://flagcdn.com/w40/pl.png,,,125,1.0,28.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Jerzy Pilarz,Polska,https://flagcdn.com/w40/pl.png,,,125,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Kaletka,Polska,https://flagcdn.com/w40/pl.png,,,125,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Jerzy Gruszfeld,Polska,https://flagcdn.com/w40/pl.png,,,125,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Szal,Polska,https://flagcdn.com/w40/pl.png,,,125,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Marcin Ślęzak,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,,3.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Janicki,Polska,https://flagcdn.com/w40/pl.png,,,125,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Zygmunt,Polska,https://flagcdn.com/w40/pl.png,,,125,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Paweł Senecki,Polska,https://flagcdn.com/w40/pl.png,,,125,,,25.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Marek Móll,Polska,https://flagcdn.com/w40/pl.png,,26.06.1968,57,,,25.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Krzysztof Skrzyp,Polska,https://flagcdn.com/w40/pl.png,,,125,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Andrzej Fluder,Polska,https://flagcdn.com/w40/pl.png,,,125,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Jacek Czernek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Jarosław Gawłowski,Polska,https://flagcdn.com/w40/pl.png,,,125,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Mirosław Marasik,Polska,https://flagcdn.com/w40/pl.png,,,125,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bogusław Zioło,Polska,https://flagcdn.com/w40/pl.png,,,125,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Tomasz Moskała,Polska,https://flagcdn.com/w40/pl.png,napastnik,05.02.1977,48,,,20.0,32.0,27.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,99
Maciej Matejko,Polska,https://flagcdn.com/w40/pl.png,,,125,,,13.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Piotr Kuś,Polska,https://flagcdn.com/w40/pl.png,,,125,,,12.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
Foltyn,Polska,https://flagcdn.com/w40/pl.png,,,125,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Damian Połącarz,Polska,https://flagcdn.com/w40/pl.png,,,125,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Wrzaszcz,Polska,https://flagcdn.com/w40/pl.png,,,125,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Mirosław Majdak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,,125,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Adam Majdak,Polska,https://flagcdn.com/w40/pl.png,napastnik,,125,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Brycz,Polska,https://flagcdn.com/w40/pl.png,,,125,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Piotr Kalinowski,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,28.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Robert Wszołek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Sławomir Frączek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Mariusz Sibik,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,25.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Łukasz Nolka,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Dariusz Drewniak,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,8.0,22.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,42
Distel,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Kania,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Arkadiusz Rucki,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,1.0,5.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,19
Włodarczyk,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Waliczek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Jarosław Matusiak,Polska,https://flagcdn.com/w40/pl.png,bramkarz,15.02.1965,60,,,,1.0,34.0,38.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,102
Arkadiusz Lazar,Polska,https://flagcdn.com/w40/pl.png,napastnik,05.01.1971,54,,,,,32.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,40
Janusz Pancer,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Nalepa,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Roman Skorupa,Polska,https://flagcdn.com/w40/pl.png,pomocnik,28.04.1967,58,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Młynarczyk,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Koźmiński,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3
Arkadiusz Kłoda,Polska,https://flagcdn.com/w40/pl.png,obrońca,24.11.1980,45,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,36
Daniel Dziarmaga,Polska,https://flagcdn.com/w40/pl.png,pomocnik,30.09.1974,51,,,,,33.0,31.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,79
Sebastian Olszar,Polska /Niemcy,https://flagcdn.com/w40/pl.png,napastnik,16.12.1981,44,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20
Marcin Radzewicz,Polska,https://flagcdn.com/w40/pl.png,pomocnik,30.06.1980,45,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20
Marcin Domagała,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,24
Samson Godwin,Nigeria,https://flagcdn.com/w40/ng.png,pomocnik,11.11.1983,42,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,23
Grzegorz Jurczyk,Polska,https://flagcdn.com/w40/pl.png,obrońca,06.08.1975,50,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,9
Robert Sołtysek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,26.11.1974,51,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,14
Roman Cegiełka,Polska,https://flagcdn.com/w40/pl.png,pomocnik,20.02.1972,53,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5
Kolber,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4
Karol Stawecki,Polska,https://flagcdn.com/w40/pl.png,napastnik,18.06.1978,47,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,31
Tomasz Matloch,Polska,https://flagcdn.com/w40/pl.png,obrońca,24.05.1973,52,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,28
