Sezon;Data;Gospodarz;Gość;Wynik;Rola;Przeciwnik;Zawodnik;Minuty;Gole;Status;Karne;Żółte;Czerwone;Wejście;Zejście
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krystian Gańcarczyk;90;1;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Tomasz Duleba;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krzysztof Skrzyp;75;0;Zszedł;0;0;0;0;75
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Bartosz Żelichowski;15;0;Wszedł;0;0;0;75;90
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Marek Sokołowski;60;0;Zszedł;0;0;0;0;60
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krzysztof Szczygieł;30;0;Wszedł;0;0;0;60;90
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Andrzej Fluder;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Rafał Studencki;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Michał Klimczak;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Krystian Gańcarczyk;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Tomasz Duleba;55;0;Zszedł;0;0;0;0;55
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Jacek Czernek;35;0;Wszedł;0;0;0;55;90
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Krzysztof Skrzyp;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Marek Sokołowski;65;0;Zszedł;0;0;0;0;65
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Andrzej Fluder;25;0;Wszedł;0;0;0;65;90
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Grzegorz Bak;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Rafał Studencki;90;0;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Tomasz Duleba;90;1;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Krzysztof Skrzyp;90;0;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Marek Móll;90;1;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Tomasz Gębczyński;90;0;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Marek Sokołowski;87;0;Zszedł;0;0;0;0;87
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Krzysztof Szczygieł;3;0;Wszedł;0;0;0;87;90
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Grzegorz Bak;90;1;Cały mecz;0;0;0;0;0
1997/1998;17.08.1997;BBTS;Hejnał Kęty;5 - 2;Gospodarz;Hejnał Kęty;Rafał Studencki;90;2;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Tomasz Duleba;90;0;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Krzysztof Skrzyp;45;0;Zszedł;0;0;0;0;45
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Krzysztof Szczygieł;45;0;Wszedł;0;0;0;45;90
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Dariusz Ziółkowski;90;1;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Tomasz Gębczyński;45;0;Zszedł;0;0;0;0;45
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Jarosław Gawłowski;45;0;Wszedł;0;0;0;45;90
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Grzegorz Bak;90;0;Cały mecz;0;0;0;0;0
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Rafał Studencki;45;0;Zszedł;0;0;0;0;45
1997/1998;24.08.1997;Pionier Pisarzowice;BBTS;3 - 1;Gość;Pionier Pisarzowice;Jacek Czernek;45;0;Wszedł;0;0;0;45;90
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Krzysztof Skrzyp;43;0;Zszedł;0;0;0;0;43
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Krzysztof Szczygieł;47;0;Wszedł;0;0;0;43;90
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Mirosław Marasik;70;0;Zszedł;0;0;0;0;70
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Jacek Czernek;20;0;Wszedł;0;0;0;70;90
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Dariusz Ziółkowski;90;1;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Marek Sokołowski;90;1;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Jarosław Gawłowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Tomasz Gębczyński;90;1;Cały mecz;0;0;0;0;0
1997/1998;31.08.1997;BBTS;Jedność Wieprz;3 - 0;Gospodarz;Jedność Wieprz;Rafał Studencki;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Tomasz Duleba;50;0;Zszedł;0;0;0;0;50
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Marek Sokołowski;40;0;Wszedł;0;0;0;50;90
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Krystian Gańcarczyk;68;0;Zszedł;0;0;0;0;68
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Jacek Czernek;22;1;Wszedł;0;0;0;68;90
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Jarosław Gawłowski;70;1;Zszedł;0;0;0;0;70
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Krzysztof Szczygieł;20;0;Wszedł;0;0;0;70;90
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Tomasz Gębczyński;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Grzegorz Bak;90;0;Cały mecz;0;0;0;0;0
1997/1998;06.09.1997;Cukrownik Chybie;BBTS;1 - 1;Gość;Cukrownik Chybie;Rafał Studencki;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Tomasz Duleba;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Krystian Gańcarczyk;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Marek Sokołowski;90;2;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Jarosław Gawłowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Tomasz Gębczyński;90;0;Cały mecz;0;0;0;0;0
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Grzegorz Bak;70;1;Zszedł;0;0;0;0;70
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Jacek Czernek;20;0;Wszedł;0;0;0;70;90
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Rafał Studencki;80;0;Zszedł;0;0;0;0;80
1997/1998;10.09.1997;BBTS;Kuźnia Ustroń;3 - 0;Gospodarz;Kuźnia Ustroń;Andrzej Fluder;10;0;Wszedł;0;0;0;80;90
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Bogusław Zioło;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Krystian Gańcarczyk;75;0;Zszedł;0;0;0;0;75
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Andrzej Fluder;15;0;Wszedł;0;0;0;75;90
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Tomasz Gębczyński;46;0;Zszedł;0;0;0;0;46
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Tomasz Duleba;44;0;Wszedł;0;0;0;46;90
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Dariusz Ziółkowski;80;0;Zszedł;0;0;0;0;80
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Mirosław Marasik;10;0;Wszedł;0;0;0;80;90
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Jarosław Gawłowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Grzegorz Bak;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Rafał Studencki;80;0;Zszedł;0;0;0;0;80
1997/1998;14.09.1997;Wisła Strumień;BBTS;1 - 0;Gość;Wisła Strumień;Jacek Czernek;10;0;Wszedł;0;0;0;80;90
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Bogusław Zioło;90;0;Cały mecz;0;0;0;0;0
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Krystian Gańcarczyk;30;0;Zszedł;0;0;0;0;30
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Paweł Senecki;60;0;Wszedł;0;0;0;30;90
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Tomasz Gębczyński;90;0;Cały mecz;0;0;0;0;0
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Przemysław Bieniek;75;0;Zszedł;0;0;0;0;75
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Andrzej Fluder;15;0;Wszedł;0;0;0;75;90
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Jarosław Gawłowski;70;0;Zszedł;0;0;0;0;70
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Dariusz Ziółkowski;20;0;Wszedł;0;0;0;70;90
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Grzegorz Bak;45;0;Zszedł;0;0;0;0;45
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Rafał Studencki;45;0;Wszedł;0;0;0;45;90
1997/1998;20.09.1997;BBTS;Śrubiarnia Żywiec;1 - 5;Gospodarz;Śrubiarnia Żywiec;Jacek Czernek;90;1;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Bogusław Zioło;90;0;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Krystian Gańcarczyk;90;0;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Marek Móll;90;1;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Tomasz Gębczyński;50;0;Zszedł;0;0;0;0;50
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Tomasz Duleba;40;0;Wszedł;0;0;0;50;90
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Jarosław Gawłowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Marek Sokołowski;90;1;Cały mecz;0;0;0;0;0
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Dariusz Ziółkowski;70;1;Zszedł;0;0;0;0;70
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Krzysztof Szczygieł;20;0;Wszedł;0;0;0;70;90
1997/1998;28.09.1997;BBTS;LKS Niwa Nowa Wieś;5 - 2;Gospodarz;LKS Niwa Nowa Wieś;Jacek Czernek;90;2;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Bogusław Zioło;90;0;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Krystian Gańcarczyk;90;0;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Marek Móll;90;2;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Jarosław Gawłowski;82;0;Zszedł;0;0;0;0;82
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Tomasz Gębczyński;8;0;Wszedł;0;0;0;82;90
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Tomasz Moskała;90;1;Cały mecz;0;0;0;0;0
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Jacek Czernek;75;1;Zszedł;0;0;0;0;75
1997/1998;01.10.1997;Stanisławianka Stanisław;BBTS;2 - 4;Gość;Stanisławianka Stanisław;Grzegorz Bak;15;0;Wszedł;0;0;0;75;90
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Wiesław Wawrzuta;90;1;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Bogusław Zioło;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Krystian Gańcarczyk;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Jarosław Gawłowski;46;0;Zszedł;0;0;0;0;46
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Tomasz Gębczyński;44;0;Wszedł;0;0;0;46;90
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Tomasz Moskała;90;0;Cały mecz;0;0;0;0;0
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Jacek Czernek;45;0;Zszedł;0;0;0;0;45
1997/1998;11.10.1997;BBTS;Koszarawa Żywiec;1 - 1;Gospodarz;Koszarawa Żywiec;Krzysztof Szczygieł;45;0;Wszedł;0;0;0;45;90
1997/1998;18.10.1997;Skawa Wadowice;BBTS;0 - 0;Gość;Skawa Wadowice;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
