Mecz,kolejka,sezon,data meczu,data sortowanie,miejsce rozgrywania,TSP,rywal,wynik,strzelcy,rozgrywki,frekwencja
674,23,2015/16,"sobota, 20 lutego 2016",02-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,4-1,"Róbert Demjan 17, Marek Sokołowski 64, Mateusz Szczepaniak 80, Jakub Kowalski 88",Ekstraklasa,5 012
675,24,2015/16,"sobota, 27 lutego 2016",02-27),Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,2-1,"Mateusz Możdżeń 64, Samuel Štefánik 80",Ekstraklasa,10 057
676,25,2015/16,"wtorek, 1 marca 2016",03-01),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,2-0,"Mateusz Szczepaniak 89, Džiugas Bartkus 90 (s)",Ekstraklasa,3 829
677,26,2015/16,"piątek, 4 marca 2016",03-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,1-1,Mateusz Szczepaniak 33,Ekstraklasa,4 652
678,27,2015/16,"piątek, 11 marca 2016",03-11),Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-3,"Kōhei Katō 9, Jozef Piaček 59",Ekstraklasa,4 584
679,28,2015/16,"sobota, 19 marca 2016",03-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-0,,Ekstraklasa,6 222
680,29,2015/16,"poniedziałek, 4 kwietnia 2016",04-04),Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,3-0,"Marek Wasiluk 14 (s), Guti 34 (s), Adam Mójta 76",Ekstraklasa,10 132
681,30,2015/16,"sobota, 9 kwietnia 2016",04-09),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-0,"Adam Mójta 54, Mateusz Możdżeń 80",Ekstraklasa,6 359
682,31,2015/16,"niedziela, 17 kwietnia 2016",04-17),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,0-1,,Ekstraklasa,4 799
683,32,2015/16,"środa, 20 kwietnia 2016",04-20),Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-1,,Ekstraklasa,7 968
684,33,2015/16,"sobota, 23 kwietnia 2016",04-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,1-2,Adam Mójta 67,Ekstraklasa,5 783
685,34,2015/16,"niedziela, 1 maja 2016",05-01),Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-3,"Adam Mójta 17, Mateusz Szczepaniak 74",Ekstraklasa,7 453
686,35,2015/16,"piątek, 6 maja 2016",05-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,1-1,Paweł Baranowski 90,Ekstraklasa,5 888
687,36,2015/16,"wtorek, 10 maja 2016",05-10),Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,1-5,Adam Deja 80,Ekstraklasa,4 056
688,37,2015/16,"sobota, 14 maja 2016",05-14),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,3-4,"Róbert Demjan 17, Samuel Štefánik 28, 64",Ekstraklasa,5 650
689,1,2016/17,"sobota, 30 lipca 2016",07-30),Grudziądz,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,2-0,"Róbert Demjan 28, Tomasz Podgóski 52",I liga,1 200
690,2,2016/17,"piątek, 5 sierpnia 2016",08-05),Bytów,Podbeskidzie Bielsko-Biała,Bytovia Bytów,2-0,"Tomasz Podgórski 29, Róbert Demjan 89",I liga,850
691,1/16 finału,2016/17,"wtorek, 9 sierpnia 2016",08-09),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,0-3,,Puchar Polski,4 510
692,3,2016/17,"piątek, 12 sierpnia 2016",08-12),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wigry Suwałki,1-1,Tomasz Podgórski 36,I liga,4 526
693,4,2016/17,"sobota, 20 sierpnia 2016",08-20),Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,2-0,"Róbert Demjan 13, Damian Chmiel 25",I liga,700
694,5,2016/17,"środa, 24 sierpnia 2016",08-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,0-1,,I liga,5 059
695,6,2016/17,"sobota, 27 sierpnia 2016",08-27),Olsztyn,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,0-1,,I liga,2 620
696,7,2016/17,"piątek, 2 września 2016",09-02),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,0-2,,I liga,6 685
697,8,2016/17,"sobota, 10 września 2016",09-10),Pruszków,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-0,Paweł Tarnowski 59,I liga,700
698,9,2016/17,"piątek, 16 września 2016",09-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,4-5,"Paweł Tarnowski 2, Daniel Feruga 53. Łukasz Sierpina 61, Róbert Demjan 76",I liga,5 621
699,10,2016/17,"sobota, 24 września 2016",09-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Puławy,0-0,,I liga,4 929
700,11,2016/17,"piątek, 30 września 2016",09-30),Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-1,Tomasz Podgórski 80,I liga,2 087
701,12,2016/17,"sobota, 8 października 2016",10-08),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Mielec,0-1,,I liga,8 752
702,13,2016/17,"sobota, 15 października 2016",10-15),Tychy,Podbeskidzie Bielsko-Biała,GKS Tychy,1-0,Damian Chmiel 64,I liga,5 779
703,14,2016/17,"sobota, 22 października 2016",10-22),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Siedlce,0-0,,I liga,5 172
704,15,2016/17,"sobota, 29 października 2016",10-29),Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,0-0,,I liga,1 233
705,16,2016/17,"niedziela, 6 listopada 2016",11-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,3-3,"Tomasz Podgórski 42, Damian Chmiel 62, Szymon Lewicki 78",I liga,8 730
706,17,2016/17,"niedziela, 13 listopada 2016",11-13),Kluczbork,Podbeskidzie Bielsko-Biała,MKS Kluczbork,1-1,Tomasz Podgórski 80,I liga,700
707,18,2016/17,"sobota, 19 listopada 2016",11-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,0-3,,I liga,4 828
708,19,2016/17,"piątek, 25 listopada 2016",11-25),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bytovia Bytów,2-1,"Szymon Lewicki 53, 84",I liga,4 221
709,20,2016/17,"niedziela, 5 marca 2017",03-05),Suwałki,Podbeskidzie Bielsko-Biała,Wigry Suwałki,0-2,,I liga,1 261
710,21,2016/17,"sobota, 11 marca 2017",03-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,2-1,"Nermin Haskić 21, Paweł Moskwik 50",I liga,4 716
711,22,2016/17,"sobota, 18 marca 2017",03-18),Chojnice,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,1-1,Szymon Lewicki 51,I liga,950
712,23,2016/17,"piątek, 24 marca 2017",03-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,2-2,"Nermin Haskić 4, Szymon Lewicki 71",I liga,4 859
713,24,2016/17,"piątek, 31 marca 2017",03-31),Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,2-1,"Robert Gumny 71, Szymon Lewicki 79",I liga,4 000
714,25,2016/17,"sobota, 8 kwietnia 2017",04-08),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Znicz Pruszków,2-0,"Szymon Lewicki 41, Grzegorz Janiszewski 84 (s)",I liga,5 220
715,26,2016/17,"sobota, 15 kwietnia 2017",04-15),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-0,,I liga,2 134
716,27,2016/17,"sobota, 22 kwietnia 2017",04-22),Puławy,Podbeskidzie Bielsko-Biała,Wisła Puławy,1-0,Tomasz Podgórski 86,I liga,911
717,28,2016/17,"piątek, 28 kwietnia 2017",04-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,2-1,"Michał Janota 17, Szymon Lewicki 79",I liga,5 189
718,29,2016/17,"sobota, 6 maja 2017",05-06),Mielec,Podbeskidzie Bielsko-Biała,Stal Mielec,1-0,Łukasz Hanzel 29,I liga,3 458
719,30,2016/17,"sobota, 13 maja 2017",05-13),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Tychy,2-2,"Łukasz Sierpina 17, Nermin Haskić 89",I liga,8 412
720,31,2016/17,"środa, 17 maja 2017",05-17),Siedlce,Podbeskidzie Bielsko-Biała,Pogoń Siedlce,0-3,,I liga,1 552
721,32,2016/17,"sobota, 20 maja 2017",05-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,2-1,"Tomasz Podgórski 44, Szymon Lewicki 90",I liga,6 402
722,33,2016/17,"niedziela, 28 maja 2017",05-28),Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-4,,I liga,19 408
723,34,2016/17,"niedziela, 4 czerwca 2017",06-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,MKS Kluczbork,3-1,"Kacper Kostorz 25, Robert Gumny 57, Szymon Szymański 79",I liga,5 798
724,I runda,2017/18,"sobota, 22 lipca 2017",07-22),Radom,Podbeskidzie Bielsko-Biała,Radomiak Radom,1-1 pd. k. 4-2,Tomasz Podgórski 26,Puchar Polski,3 300
725,1,2017/18,"sobota, 29 lipca 2017",07-29),Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-1,Tomasz Podgórski 32,I liga,1 048
726,2,2017/18,"sobota, 5 sierpnia 2017",08-05),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bytovia Bytów,0-2,,I liga,4 580
727,1/16 finału,2017/18,"wtorek, 8 sierpnia 2017",08-08),Nowy Dwór Mazowiecki,Podbeskidzie Bielsko-Biała,Świt Nowy Dwór Mazowiecki,3-1,"Adrian Rakowski 12, Valērijs Šabala 43, Paweł Tomczyk 73",Puchar Polski,900
728,3,2017/18,"piątek, 11 sierpnia 2017",08-11),Olsztyn,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,1-3,Paweł Tomczyk,I liga,2 330
729,4,2017/18,"piątek, 18 sierpnia 2017",08-18),Chojnice,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,0-4,,I liga,1 326
730,5,2017/18,"wtorek, 22 sierpnia 2017",08-22),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,1-0,Dimityr Iljiew 24,I liga,6 451
731,6,2017/18,"piątek, 25 sierpnia 2017",08-25),Tychy,Podbeskidzie Bielsko-Biała,GKS Tychy,3-3,"Dimityr Iljiew 45, Paweł Tomczyk 63, Adrian Łuszkiewicz 69 (s)",I liga,5 077
732,8,2017/18,"sobota, 9 września 2017",09-09),Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,0-1,,I liga,1 588
733,7,2017/18,"środa, 13 września 2017",09-13),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,3-0,"Paweł Tomczyk 32, Łukasz Sierpina 67, Valērijs Šabala 84",I liga,3 578
734,9,2017/18,"sobota, 16 września 2017",09-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Siedlce,2-0,"Miłosz Kozak 6, Kamil Wiktorski 65",I liga,4 061
735,1/8 finału,2017/18,"wtorek, 19 września 2017",09-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,1-2 pd.,Szymon Sobczak 20,I liga,4 235
736,10,2017/18,"sobota, 23 września 2017",09-23),Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,2-0,"Szymon Sobczak 12, Łukasz Sierpina 78",I liga,2 041
737,11,2017/18,"sobota, 30 września 2017",09-30),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,2-1,"Paweł Tomczyk 16, Valērijs Šabala 72",I liga,4 913
738,13,2017/18,"sobota, 14 października 2017",10-14),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,1-2,Paweł Oleksy 24,I liga,11 621
739,12,2017/18,"środa, 18 października 2017",10-18),Częstochowa,Podbeskidzie Bielsko-Biała,Raków Częstochowa,1-1,Andrzej Niewulis 8 (s),I liga,1 878
740,14,2017/18,"sobota, 21 października 2017",10-21),Opole,Podbeskidzie Bielsko-Biała,Odra Opole,2-2,"Paweł Tomczyk 3, Tomasz Podgórski 73",I liga,1 621
741,15,2017/18,"piątek, 27 października 2017",10-27),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-0,,I liga,6 117
742,16,2017/18,"sobota, 4 listopada 2017",11-04),Suwałki,Podbeskidzie Bielsko-Biała,Wigry Suwałki,0-3,,I liga,903
743,18,2017/18,"piątek, 17 listopada 2017",11-17),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-0,Dimityr Ilijew 58,I liga,3 954
744,17,2017/18,"wtorek, 21 listopada 2017",11-21),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Mielec,2-3,"Paweł Tomczyk 54, Valērijs Šabala 83",I liga,3 501
745,19,2017/18,"sobota, 25 listopada 2017",11-25),Bytów,Podbeskidzie Bielsko-Biała,Bytovia Bytów,1-1,Valērijs Šabala 61,I liga,301
746,20,2017/18,"sobota, 3 marca 2018",03-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,1-0,Valērijs Šabala 90,I liga,3 357
747,21,2017/18,"sobota, 10 marca 2018",03-10),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,0-0,,I liga,4 175
748,22,2017/18,"sobota, 17 marca 2018",03-17),Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,2-0,"Valērijs Šabala 20, Mavroudís Bougaḯdis 49",I liga,4 552
749,24,2017/18,"sobota, 31 marca 2018",03-31),Grudziądz,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,0-0,,I liga,1 471
750,25,2017/18,"piątek, 6 kwietnia 2018",04-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,0-0,,I liga,2 534
751,23,2017/18,"środa, 11 kwietnia 2018",04-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Tychy,1-1,Valērijs Šabala 51,I liga,4 066
752,26,2017/18,"niedziela, 15 kwietnia 2018",04-15),Siedlce,Podbeskidzie Bielsko-Biała,Pogoń Siedlce,0-0,,I liga,1 426
753,27,2017/18,"sobota, 21 kwietnia 2018",04-21),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,0-0,,I liga,2 746
754,28,2017/18,"niedziela, 29 kwietnia 2018",04-29),Niepołomice,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,3-1,"Valērijs Šabala 2, Paweł Tomczyk 8, 90",I liga,805
755,29,2017/18,"sobota, 5 maja 2018",05-05),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Raków Częstochowa,1-1,Valērijs Šabala 85,I liga,3 136
756,30,2017/18,"środa, 9 maja 2018",05-09),Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,0-3,,I liga,2 450
757,31,2017/18,"sobota, 12 maja 2018",05-12),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,1-2,Paweł Tomczyk 76,I liga,2 049
758,32,2017/18,"sobota, 19 maja 2018",05-19),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-2,,I liga,4 115
759,33,2017/18,"niedziela, 27 maja 2018",05-27),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wigry Suwałki,1-0,Damian Chmiel 90,I liga,1 841
760,34,2017/18,"niedziela, 3 czerwca 2018",06-03),Mielec,Podbeskidzie Bielsko-Biała,Stal Mielec,4-0,"Paweł Moskwik 6, 38, Paweł Tomczyk 13, 59",I liga,3 288
761,1,2018/19,"sobota, 21 lipca 2018",07-21),Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,1-0,Valērijs Šabala 21,I liga,2 500
762,2,2018/19,"sobota, 28 lipca 2018",07-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,1-2,Kacper Kostorz 59,I liga,3 130
763,3,2018/19,"sobota, 4 sierpnia 2018",08-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,1-3,Bartosz Jaroch 50,I liga,2 353
764,4,2018/19,"sobota, 11 sierpnia 2018",08-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Garbarnia Kraków,0-0,,I liga,2 071
765,5,2018/19,"piątek, 17 sierpnia 2018",08-17),Mielec,Podbeskidzie Bielsko-Biała,Stal Mielec,1-0,Łukasz Sierpina 66,I liga,3 958
766,6,2018/19,"środa, 22 sierpnia 2018",08-22),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,4-1,"Guga Palawandiszwili 16, Łukasz Sierpina 57, 87, Valērijs Šabala 71",I liga,2 284
767,7,2018/19,"sobota, 25 sierpnia 2018",08-25),Bytów,Podbeskidzie Bielsko-Biała,Bytovia Bytów,1-1,Valērijs Šabala 49,I liga,970
768,8,2018/19,"sobota, 1 września 2018",09-01),Niepołomice,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,2-3,"Valērijs Šabala 7, Łukasz Sierpina 31",I liga,755
769,10,2018/19,"sobota, 15 września 2018",09-15),Tychy,Podbeskidzie Bielsko-Biała,GKS Tychy,2-2,"Michał Rzuchowski 44, Kacper Kostorz 45",I liga,4 544
770,9,2018/19,"środa, 19 września 2018",09-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,0-3,,I liga,2 056
771,11,2018/19,"niedziela, 23 września 2018",09-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,1-1,Valērijs Šabala 65,I liga,1 645
772,I runda,2018/19,"środa, 26 września 2018",09-26),Kluczbork,Podbeskidzie Bielsko-Biała,MKS Kluczbork,2-0,"Chopi 4, Adrian Rakowski 12",Puchar Polski,380
773,12,2018/19,"niedziela, 30 września 2018",09-30),Suwałki,Podbeskidzie Bielsko-Biała,Wigry Suwałki,5-0,"Przemysław Płacheta 17, 22, Valērijs Šabala 53, 59, Miłosz Kozak 90",I liga,1 075
774,13,2018/19,"sobota, 6 października 2018",10-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Raków Częstochowa,0-0,,I liga,2 492
775,15,2018/19,"sobota, 20 października 2018",10-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,2-1,"Przemysław Płacheta 14, Paweł Oleksy 48",I liga,1 598
776,14,2018/19,"środa, 24 października 2018",10-24),Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,1-2,Bartosz Jaroch 57,I liga,1 564
777,16,2018/19,"sobota, 27 października 2018",10-27),Opole,Podbeskidzie Bielsko-Biała,Odra Opole,1-0,Chopi 77,I liga,1 246
778,1/16 finału,2018/19,"środa, 31 października 2018",10-31),Sandomierz,Podbeskidzie Bielsko-Biała,Wisła Sandomierz,2-3 pd.,"Grzegorz Goncerz 51, Michał Rzuchowski 90",Puchar Polski,500
779,17,2018/19,"niedziela, 4 listopada 2018",11-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,3-0,"Valērijs Šabala 20, Adrian Rakowski 48, Łukasz Sierpina 87",I liga,2 164
780,18,2018/19,"sobota, 10 listopada 2018",11-10),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,0-2,,I liga,3 790
781,20,2018/19,"sobota, 24 listopada 2018",11-24),Olsztyn,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,2-0,"Łukasz Sierpina 29, 64",I liga,1 005
782,19,2018/19,"środa, 28 listopada 2018",11-28),Nieciecza,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,0-1,,I liga,1 084
783,21,2018/19,"sobota, 1 grudnia 2018",12-01),Kraków,Podbeskidzie Bielsko-Biała,Garbarnia Kraków,2-0,"Łukasz Sierpina 23, Marcin Cabaj 75 (s)",I liga,200
784,22,2018/19,"sobota, 2 marca 2019",03-02),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Mielec,0-2,,I liga,2 696
785,23,2018/19,"niedziela, 10 marca 2019",03-10),Poznań,Podbeskidzie Bielsko-Biała,Warta Poznań,3-4,"Przemysław Płacheta 35, Paweł Oleksy 55, Chopi 81",I liga,894
786,24,2018/19,"sobota, 16 marca 2019",03-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bytovia Bytów,3-1,"Bartosz Jaroch 11, 74, Chopi 35",I liga,1 505
787,26,2018/19,"piątek, 29 marca 2019",03-29),Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,0-3,,I liga,4 984
788,25,2018/19,"środa, 3 kwietnia 2019",04-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,3-1,"Paweł Oleksy 6, Valērijs Šabala 47, Adrian Rakowski 77",I liga,1 282
789,27,2018/19,"niedziela, 7 kwietnia 2019",04-07),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Tychy,2-0,"Valērijs Šabala 30, 71",I liga,2 635
790,28,2018/19,"sobota, 13 kwietnia 2019",04-13),Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,0-2,,I liga,897
791,29,2018/19,"czwartek, 18 kwietnia 2019",04-18),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wigry Suwałki,3-3,"Michał Rzuchowski 6, Adrian Rakowski 48, Bartosz Jaroch 59",I liga,1 345
792,30,2018/19,"środa, 24 kwietnia 2019",04-24),Częstochowa,Podbeskidzie Bielsko-Biała,Raków Częstochowa,0-2,,I liga,4 011
793,31,2018/19,"niedziela, 28 kwietnia 2019",04-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,2-2,"Michał Rzuchowski 11, Bartosz Jaroch 50",I liga,1 869
794,32,2018/19,"niedziela, 5 maja 2019",05-05),Chojnice,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,2-2,"Przemysław Płacheta 64, Valērijs Šabala 72",I liga,1 015
795,33,2018/19,"sobota, 11 maja 2019",05-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,3-1,"Damian Hilbrycht 78, Bartosz Jaroch 85, Przemysław Płacheta 90",I liga,2 066
796,34,2018/19,"sobota, 18 maja 2019",05-18),Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-1,Bartosz Jaroch 43,I liga,599
797,1,2019/20,"sobota, 27 lipca 2019",07-27),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,1-1,Karol Danielak 26,I liga,2 745
798,2,2019/20,"niedziela, 4 sierpnia 2019",08-04),Chojnice,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,1-0,Marko Roginić 30,I liga,1 515
799,3,2019/20,"niedziela, 11 sierpnia 2019",08-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Mielec,4-1,"Karol Danielak 35, 62, 72, Iván Martín 90 ",I liga,4 324
800,5,2019/20,"środa, 21 sierpnia 2019",08-21),Grodzisk Wielkopolski,Podbeskidzie Bielsko-Biała,Warta Poznań,1-2,Konrad Sieracki 25,I liga,686
801,6,2019/20,"sobota, 24 sierpnia 2019",08-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,2-1,"Aleksander Komor 14, Tomasz Nowak 54",I liga,2 868
802,7,2019/20,"sobota, 31 sierpnia 2019",08-31),Nieciecza,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-2,"Marko Roginić 11, Łukasz Sierpina 51",I liga,2 020
803,9,2019/20,"sobota, 14 września 2019",09-14),Niepołomice,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,1-0,Tomasz Nowak 19,I liga,908
804,4,2019/20,"wtorek, 17 września 2019",09-17),Suwałki,Podbeskidzie Bielsko-Biała,Wigry Suwałki,0-1,,I liga,1 672
805,8,2019/20,"środa, 18 września 2019",09-18),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,2-1,"Tomasz Nowak 45, Marko Roginić 47",I liga,2 924
806,10,2019/20,"niedziela, 22 września 2019",09-22),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Tychy,2-2,"Karol Danielak 29, 48",I liga,4 773
807,I runda,2019/20,"środa, 25 września 2019",09-25),Siedlce,Podbeskidzie Bielsko-Biała,Pogoń Siedlce,0-1,,Puchar Polski,1 037
808,11,2019/20,"sobota, 28 września 2019",09-28),Olsztyn,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,0-1,,I liga,2 311
809,12,2019/20,"sobota, 5 października 2019",10-05),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,4-0,"Marko Roginić 54, 55, Karol Danielak 63, Mateusz Sopoćko 81",I liga,2 241
810,13,2019/20,"sobota, 12 października 2019",10-12),Radom,Podbeskidzie Bielsko-Biała,Radomiak Radom,3-1,"Marko Roginić 22, Łukasz Sierpina 50, Iván Martín 90",I liga,3 885
811,14,2019/20,"sobota, 19 października 2019",10-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,0-2,,I liga,5 064
812,15,2019/20,"niedziela, 27 października 2019",10-27),Opole,Podbeskidzie Bielsko-Biała,Odra Opole,2-0,"Rafał Figiel 16, Marko Roginić 55",I liga,1 177
813,16,2019/20,"niedziela, 3 listopada 2019",11-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,3-1,"Łukasz Sierpina 41, Bartosz Jaroch 60, Karol Danielak 78",I liga,4 034
814,17,2019/20,"niedziela, 10 listopada 2019",11-10),Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-1,Łukasz Sierpina 50,I liga,596
815,18,2019/20,"sobota, 16 listopada 2019",11-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,4-1,"Rafał Figiel 13, Marko Roginić 29, Karol Danielak 41, Quentin Seedorf 83 (s)",I liga,5 344
816,19,2019/20,"piątek, 22 listopada 2019",11-22),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,2-1,"Filip Modelski 57, Karol Danielak 69",I liga,4 112
817,20,2019/20,"sobota, 30 listopada 2019",11-30),Mielec,Podbeskidzie Bielsko-Biała,Stal Mielec,1-2,Łukasz Sierpina 43,I liga,2 929
818,21,2019/20,"niedziela, 1 marca 2020",03-01),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wigry Suwałki,4-0,"Kacper Gach 33, Rafał Figiel 47, Dmytro Baszłaj 57, Michał Rzuchowski 89",I liga,4 380
819,22,2019/20,"poniedziałek, 9 marca 2020",03-09),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,2-0,"Michał Rzuchowski 8, Bartosz Jaroch 51",I liga,4 988
820,23,2019/20,"środa, 3 czerwca 2020",06-03),Grudziądz,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,2-1,"Jakub Bieroński 35, Bartosz Jaroch 56",I liga,bez udziału publiczności
