imię i nazwisko,narodowość,flaga,pozycja,data urodzenia,wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,SUMA
Łukasz Merda,Polska,https://flagcdn.com/w40/pl.png,bramkarz,04.05.1980,45,,,,,,,,,15,29,31,23,33,28,6,,,,,,,,,,,,,,,,,165
Bogdan Prusek,Polska,https://flagcdn.com/w40/pl.png,napastnik,11.04.1971,54,,,,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,25
Wojciech Rączka,Polska,https://flagcdn.com/w40/pl.png,pomocnik,01.11.1976,49,,,,,,,,,25,32,14,,,,,,,,,,,,,,,,,,,,,71
Abel Salami,Nigeria,https://flagcdn.com/w40/ng.png,napastnik,15.12.1979,46,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,18
Mieczysław Sikora,Polska,https://flagcdn.com/w40/pl.png,napastnik,06.02.1982,43,,,,,,,,,16,,,,,9,,,,,,,,,,,,,,,,,,25
Andriej Szyło,Białoruś,https://flagcdn.com/w40/by.png,pomocnik,11.07.1976,49,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,15
Seweryn Wojciechowski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,25.05.1980,45,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Paweł Woźniak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,11.10.1978,47,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,13
Rafał Andraszak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.02.1978,47,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,19
Daniel Dubicki,Polska,https://flagcdn.com/w40/pl.png,pomocnik,25.05.1975,50,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,20
François Endene,Kamerun /Meksyk,https://flagcdn.com/w40/cm.png,napastnik,20.10.1978,47,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,16
Tomasz Fornalik,Polska,https://flagcdn.com/w40/pl.png,obrońca,03.06.1973,52,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Tomasz Górkiewicz,Polska,https://flagcdn.com/w40/pl.png,obrońca,28.01.1985,40,,,,,,,,,,3,24,31,20,1,9,12,11,12,30,34,,,,,,,,,,,,187
Hubert Jaromin,Polska,https://flagcdn.com/w40/pl.png,pomocnik,04.03.1979,46,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13
Adam Kompała,Polska,https://flagcdn.com/w40/pl.png,pomocnik,16.08.1973,52,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,40
Tomasz Księżyc,Polska,https://flagcdn.com/w40/pl.png,obrońca,20.04.1974,51,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,15
Marcin Makuch,Polska,https://flagcdn.com/w40/pl.png,obrońca,03.04.1980,45,,,,,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,30
Grzegorz Pater,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.05.1974,51,,,,,,,,,,38,36,29,26,12,,,,,,,,,,,,,,,,,,141
Cristian Popescu,Rumunia,https://flagcdn.com/w40/ro.png,obrońca,10.10.1973,52,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Artur Prokop,Polska,https://flagcdn.com/w40/pl.png,pomocnik,18.12.1972,53,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,40
Błażej Radler,Polska,https://flagcdn.com/w40/pl.png,obrońca,02.08.1982,43,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,33
Artur Rozmus,Polska,https://flagcdn.com/w40/pl.png,napastnik,01.11.1977,48,,,,,,19,,,,26,,,,,,,,,,,,,,,,,,,,,,45
Dariusz Rucki,Polska,https://flagcdn.com/w40/pl.png,obrońca,03.02.1985,40,,,,,,,,,,1,3,10,,,,,,,,,,,,,,,,,,,,14
Mariusz Sacha,Polska,https://flagcdn.com/w40/pl.png,pomocnik,19.07.1987,38,,,,,,,,,,8,32,29,25,19,,,15,5,,,,,,,,,,,,,,133
Paweł Sibik,Polska,https://flagcdn.com/w40/pl.png,pomocnik,15.02.1971,54,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,17
Paweł Stalmach,Polska,https://flagcdn.com/w40/pl.png,pomocnik,18.11.1983,42,,,,,,,,,,15,6,,,,,,,,,,,,,,,,,,,,,21
Grzegorz Sztorc,Polska,https://flagcdn.com/w40/pl.png,napastnik,11.12.1981,44,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Adam Bała,Polska,https://flagcdn.com/w40/pl.png,pomocnik,17.01.1973,52,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,11
Nikołaj Branfiłow,Białoruś,https://flagcdn.com/w40/by.png,obrońca,16.12.1977,48,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,16
Krzysztof Chrapek,Polska,https://flagcdn.com/w40/pl.png,napastnik,07.10.1985,40,,,,,,,,,,,14,30,29,32,,,,,19,16,,,,,,,,,,,,140
Piotr Gierczak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,02.05.1976,49,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,18
Łukasz Gorszkow,Polska,https://flagcdn.com/w40/pl.png,pomocnik,06.10.1974,51,,,,,,,,,,,36,29,29,5,,,,,,,,,,,,,,,,,,99
Marcin Hirsz,Polska,https://flagcdn.com/w40/pl.png,obrońca,04.01.1980,45,,,,,,,,,,,8,15,23,9,,,,,,,,,,,,,,,,,,55
Jacek Imianowski,Polska,https://flagcdn.com/w40/pl.png,obrońca,09.02.1981,44,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5
Błażej Jankowski,Polska,https://flagcdn.com/w40/pl.png,obrońca,26.10.1980,45,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,15
Sławomir Jarczyk,Polska,https://flagcdn.com/w40/pl.png,obrońca,18.08.1980,45,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,17
Tomasz Jodłowiec,Polska,https://flagcdn.com/w40/pl.png,pomocnik,08.09.1985,40,,,,,,,,,,,13,,,,,,,,,,,,,,,,,18,22,,,53
Daniel Kasprzycki,Polska,https://flagcdn.com/w40/pl.png,pomocnik,31.01.1985,40,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Dariusz Kołodziej,Polska,https://flagcdn.com/w40/pl.png,pomocnik,17.04.1982,43,,,,,,,,,,,31,32,32,,30,18,7,3,16,18,14,14,,,,,,,,,,215
